Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142136,3842487,131.4543646,-18.63332383,-23.18107016,128.0456449,29.7416,2.16621,-2.24786,-1,39.88902415,18.8216648,30.87071865,16.84867683,36.156,0.450596,1.02328,1,91.13191648
GSF-GSF,142137,56442637,301.1946679,-50.05217022,-4.768436386,-296.9684667,50.2788,-2.47628,-3.04661,-1,124.2644816,41.15461656,6.236708733,-117.0857053,41.6245,-1.75756,0.150399,1,97.43360927
GSF-GSF,142137,86384176,169.2027744,-24.58875104,35.70528338,-163.5545931,43.3529,-2.03804,2.17387,-1,87.0270545,16.22859511,-24.87485359,-81.80209395,29.7006,-1.73772,-0.992729,1,72.57155724
GSF-GSF,142137,128712192,82.2844657,21.88927839,-31.57838034,72.76261872,38.4231,1.39507,-0.964667,-1,193.1967616,-23.8024091,29.21238389,189.4863337,37.6818,2.31803,2.2545,1,84.29789778
GSF-GSF,142137,197970649,28.19947997,26.45930748,-5.229271746,8.232280062,26.9711,0.300675,-0.19512,-1,127.3745603,-33.48554541,23.69508595,120.5883069,41.0212,1.79919,2.52577,1,84.95989682
GSF-GSF,142137,303185216,91.89149522,-19.10390013,37.43845021,-81.71566764,42.0309,-1.41839,2.04263,1,71.96403243,35.73035777,-33.29622041,-52.85380973,48.8395,-0.938316,-0.750149,-1,91.90262531
GSF-GSF,142137,144009523,110.992972,2.403958279,30.35636254,-106.7340249,30.4514,-1.96711,1.49177,1,35.71192394,-9.504711307,-32.36596225,-11.72375631,33.7327,-0.340907,-1.85643,-1,86.23004917
GSF-GSF,142137,144009523,13.79998687,-6.485557248,0.54909373,12.16863511,6.50876,1.38374,3.05713,-1,35.71192394,-9.504711307,-32.36596225,-11.72375631,33.7327,-0.340907,-1.85643,-1,34.39810436
GSF-GSF,142137,144009523,13.79998687,-6.485557248,0.54909373,12.16863511,6.50876,1.38374,3.05713,-1,110.992972,2.403958279,30.35636254,-106.7340249,30.4514,-1.96711,1.49177,1,75.22541432
GSF-GSF,142137,144009523,9.161212772,-2.014159066,1.595701845,8.793447451,2.56965,1.94408,2.4716,-1,35.71192394,-9.504711307,-32.36596225,-11.72375631,33.7327,-0.340907,-1.85643,-1,30.42233371
